1.Id: m_2_21
2.The Number Of Stands: 37
3.The Number Of Flights: 98
4.The Number Of Tasks: 272
5.Flight Information Section
30,B737,C,8:45,125,"[['U', 1, 4], ['U', 1, 4]]",46
90,B738,P,12:20,60,"[['U', 2, 4], ['U', 2, 2], ['L', 3, 3, 85]]",31
91,B738,P,11:30,115,"[['U', 3, 3], ['U', 1, 2], ['L', 3, 3, 106]]",27
92,B738,P,13:25,115,"[['U', 3, 4], ['U', 3, 2], ['L', 4, 3, 90]]",27
93,B738,P,11:35,45,"[['U', 2, 3], ['U', 3, 1], ['L', 3, 3, 108]]",34
94,B738,P,12:20,45,"[['U', 3, 4], ['U', 3, 2], ['L', 5, 3, 119]]",34
95,A320,P,11:35,50,"[['U', 2, 3], ['U', 3, 1], ['L', 5, 3, 101]]",35
96,A320,P,12:25,50,"[['U', 1, 4], ['L', 2, 3, 82]]",35
97,B738,P,11:45,180,"[['U', 2, 1], ['U', 3, 3], ['L', 2, 2, 73]]",11
101,B738,P,11:50,180,"[['U', 2, 4], ['U', 2, 1], ['U', 3, 1], ['L', 6, 3, 97]]",9
105,B738,P,12:00,60,"[['U', 1, 4], ['U', 2, 1], ['L', 3, 3, 90]]",36
106,B738,P,13:00,60,"[['U', 3, 4], ['L', 1, 3, 107]]",36
107,A320,P,12:15,180,"[['U', 3, 1], ['U', 2, 3], ['L', 6, 3, 100]]",6
111,B738,P,12:25,180,"[['U', 3, 3], ['U', 1, 1], ['L', 4, 3, 118]]",1
115,A320,P,12:25,45,"[['U', 1, 1], ['U', 3, 4], ['L', 6, 3, 96]]",33
116,A320,P,13:10,45,"[['U', 3, 4], ['L', 2, 2, 76]]",33
117,B738,P,12:25,160,"[['U', 1, 4], ['U', 1, 1], ['U', 3, 1], ['L', 2, 3, 106]]",2
121,B738,P,12:25,165,"[['U', 3, 1], ['U', 1, 4], ['L', 6, 3, 94]]",3
125,B738,P,12:35,55,"[['U', 3, 4], ['U', 1, 1], ['L', 5, 3, 99]]",12
126,B738,P,13:30,55,"[['U', 1, 4], ['U', 1, 2], ['L', 5, 3, 98]]",12
127,A320,P,12:35,170,"[['U', 1, 1], ['U', 3, 2], ['L', 5, 3, 106]]",4
131,B738,P,12:40,45,"[['U', 1, 2], ['U', 3, 3], ['L', 4, 3, 96]]",32
132,B738,P,13:25,45,"[['U', 1, 4], ['U', 1, 2], ['L', 3, 4, 121]]",32
133,A320,P,12:50,55,"[['U', 2, 1], ['U', 3, 3], ['L', 4, 3, 85]]",29
134,A320,P,13:45,55,"[['U', 1, 4], ['L', 3, 3, 108]]",29
135,B738,P,13:05,180,"[['U', 2, 2], ['U', 1, 2], ['L', 3, 3, 84]]",5
139,B738,P,13:10,55,"[['U', 3, 4], ['U', 2, 1], ['L', 1, 3, 90]]",23
140,B738,P,14:05,55,"[['U', 1, 4], ['L', 5, 3, 83]]",23
141,ARJ21,P,13:10,60,"[['U', 1, 1], ['U', 3, 2], ['L', 4, 2, 54]]",24
142,ARJ21,P,14:10,60,"[['U', 3, 3], ['L', 5, 2, 41]]",24
143,A320,P,13:30,60,"[['U', 3, 1], ['U', 1, 2], ['L', 3, 3, 85]]",30
144,A320,P,14:30,60,"[['U', 2, 4], ['L', 2, 3, 104]]",30
145,B738,P,13:35,50,"[['U', 1, 4], ['U', 2, 2], ['L', 4, 2, 76]]",13
146,B738,P,14:25,50,"[['U', 2, 4], ['U', 2, 2], ['L', 3, 3, 104]]",13
147,A319,P,13:40,55,"[['U', 3, 1], ['U', 1, 2], ['L', 3, 2, 64]]",34
148,A319,P,14:35,55,"[['U', 3, 3], ['L', 2, 2, 78]]",34
149,B738,P,13:50,50,"[['U', 2, 3], ['U', 1, 1], ['L', 2, 3, 101]]",35
150,B738,P,14:40,50,"[['U', 3, 4], ['U', 3, 2], ['L', 4, 3, 99]]",35
151,A320,P,14:05,170,"[['U', 2, 2], ['U', 1, 2], ['L', 2, 3, 97]]",7
154,A320,P,8:40,105,"[['U', 1, 4], ['U', 1, 1], ['L', 2, 3, 103]]",1
155,A320,P,14:15,165,"[['U', 2, 2], ['U', 1, 3], ['L', 3, 3, 94]]",8
158,B738,P,8:40,115,"[['U', 1, 4], ['U', 1, 1], ['L', 1, 3, 112]]",2
159,B738,P,14:15,60,"[['U', 2, 3], ['U', 3, 3], ['L', 2, 3, 82]]",31
160,B738,P,15:15,60,"[['U', 2, 4], ['L', 3, 3, 112]]",31
161,B738,P,14:20,170,"[['U', 1, 3], ['U', 2, 3], ['L', 6, 3, 92]]",10
164,ARJ21,P,9:05,80,"[['U', 2, 3], ['L', 6, 2, 43]]",3
165,B738,P,14:25,180,"[['U', 1, 3], ['U', 3, 2], ['L', 6, 3, 86]]",12
168,ARJ21,P,12:30,110,"[['U', 1, 2], ['L', 3, 2, 59]]",17
169,A320,P,14:35,45,"[['U', 1, 2], ['U', 3, 1], ['L', 6, 3, 83]]",18
170,A320,P,15:20,45,"[['U', 3, 4], ['U', 3, 1], ['L', 1, 2, 79]]",18
171,A319,P,14:40,180,"[['U', 2, 1], ['U', 1, 1], ['L', 3, 2, 68]]",20
174,A320,P,12:45,115,"[['U', 3, 3], ['L', 2, 3, 86]]",22
175,ARJ21,P,14:45,175,"[['U', 3, 1], ['U', 1, 2], ['L', 1, 2, 42]]",17
178,ARJ21,P,13:15,115,"[['U', 1, 2], ['L', 5, 2, 55]]",25
179,A320,P,14:55,105,"[['U', 3, 1], ['U', 1, 3], ['L', 1, 3, 87]]",21
181,A320,P,15:00,45,"[['U', 2, 4], ['U', 1, 1], ['L', 6, 2, 78]]",23
182,A320,P,15:45,45,"[['U', 3, 4], ['L', 3, 2, 73]]",23
183,ARJ21,P,15:40,105,"[['U', 2, 2], ['U', 1, 1], ['L', 1, 2, 51]]",11
185,A320,P,15:40,165,"[['U', 2, 2], ['U', 3, 3], ['L', 3, 3, 95]]",15
187,B738,P,15:45,60,"[['U', 2, 1], ['U', 1, 4], ['L', 6, 3, 105]]",9
189,A320,P,15:50,50,"[['U', 1, 2], ['U', 3, 1], ['L', 2, 3, 94]]",26
191,B738,P,15:55,175,"[['U', 2, 3], ['U', 1, 3], ['L', 3, 3, 83]]",13
194,A320,P,13:15,95,"[['U', 2, 4], ['L', 2, 2, 71]]",28
198,A320,P,13:25,90,"[['U', 2, 4], ['U', 2, 1], ['L', 2, 2, 74]]",26
202,B738,P,14:30,120,"[['U', 1, 4], ['U', 1, 1], ['L', 2, 3, 83]]",15
208,B738,P,15:55,80,"[['U', 1, 4], ['L', 2, 3, 97]]",16
